t[us];I[A];U[V];P[W];calka
126;37,8;3,228;122,02;61,01
127;38,19;3,11;118,77;59,38
128;38,19;3,268;124,8;62,4
129;38,19;3,228;123,28;61,64
130;37,8;3,268;123,53;61,76
131;37,8;3,228;122,02;61,01
132;37,8;3,228;122,02;61,01
133;37,8;3,189;120,54;60,27
134;37,8;3,228;122,02;61,01
135;37,8;3,228;122,02;61,01
136;37,4;3,228;120,73;60,36
137;37,8;3,189;120,54;60,27
138;38,19;3,189;121,79;60,9
139;37,8;3,189;120,54;60,27
140;37,8;3,268;123,53;61,76
141;37,8;3,189;120,54;60,27
142;37,8;3,189;120,54;60,27
143;37,4;3,189;119,27;59,64
144;37,8;3,228;122,02;61,01
145;37,4;3,228;120,73;60,36
146;37,8;3,228;122,02;61,01
147;37,4;3,189;119,27;59,64
148;38,19;3,11;118,77;59,38
149;37,4;3,228;120,73;60,36
150;37,4;3,228;120,73;60,36
151;37,4;3,268;122,22;61,11
152;37,4;3,228;120,73;60,36
153;37,8;3,189;120,54;60,27
154;37,8;3,228;122,02;61,01
155;37,4;3,268;122,22;61,11
156;37,4;3,228;120,73;60,36
157;37,8;3,268;123,53;61,76
158;37,8;3,268;123,53;61,76
159;37,4;3,189;119,27;59,64
160;37,4;3,228;120,73;60,36
161;37,4;3,189;119,27;59,64
162;37,4;3,189;119,27;59,64
163;37,8;3,189;120,54;60,27
164;37,8;3,15;119,07;59,54
165;37,4;3,228;120,73;60,36
166;37,4;3,189;119,27;59,64
167;37,4;3,228;120,73;60,36
168;37,8;3,11;117,56;58,78
169;37,4;3,228;120,73;60,36
170;37,01;3,268;120,95;60,48
171;37,01;3,268;120,95;60,48
172;37,01;3,228;119,47;59,74
173;37,4;3,189;119,27;59,64
174;37,4;3,228;120,73;60,36
175;37,01;3,268;120,95;60,48
176;37,01;3,268;120,95;60,48
177;37,4;3,189;119,27;59,64
178;37,4;3,268;122,22;61,11
179;37,4;3,268;122,22;61,11
180;37,4;3,268;122,22;61,11
181;37,01;3,268;120,95;60,48
182;37,4;3,228;120,73;60,36
183;37,4;3,228;120,73;60,36
184;37,4;3,228;120,73;60,36
185;37,01;3,268;120,95;60,48
186;37,01;3,268;120,95;60,48
187;37,4;3,189;119,27;59,64
188;37,4;3,268;122,22;61,11
189;37,4;3,189;119,27;59,64
190;37,01;3,268;120,95;60,48
191;37,01;3,228;119,47;59,74
192;37,4;3,228;120,73;60,36
193;37,4;3,189;119,27;59,64
194;37,01;3,228;119,47;59,74
195;37,01;3,228;119,47;59,74
196;37,01;3,268;120,95;60,48
197;37,01;3,228;119,47;59,74
198;37,4;3,189;119,27;59,64
199;37,4;3,189;119,27;59,64
200;37,01;3,268;120,95;60,48
201;37,01;3,268;120,95;60,48
202;37,01;3,268;120,95;60,48
203;37,01;3,228;119,47;59,74
204;37,01;3,228;119,47;59,74
205;37,01;3,268;120,95;60,48
206;37,01;3,268;120,95;60,48
207;37,01;3,228;119,47;59,74
208;37,4;3,228;120,73;60,36
209;37,01;3,228;119,47;59,74
210;37,01;3,268;120,95;60,48
211;37,01;3,228;119,47;59,74
212;37,01;3,189;118,02;59,01
213;37,4;3,189;119,27;59,64
214;37,4;3,189;119,27;59,64
215;37,01;3,228;119,47;59,74
216;36,61;3,228;118,18;59,09
217;37,01;3,228;119,47;59,74
218;37,4;3,189;119,27;59,64
219;37,01;3,228;119,47;59,74
220;37,01;3,268;120,95;60,48
221;36,61;3,268;119,64;59,82
222;37,01;3,228;119,47;59,74
223;37,01;3,228;119,47;59,74
224;37,01;3,268;120,95;60,48
225;36,61;3,268;119,64;59,82
226;37,01;3,268;120,95;60,48
227;36,61;3,268;119,64;59,82
228;37,01;3,228;119,47;59,74
229;37,01;3,228;119,47;59,74
230;36,61;3,268;119,64;59,82
231;37,01;3,268;120,95;60,48
232;37,01;3,268;120,95;60,48
233;37,4;3,189;119,27;59,64
234;37,01;3,228;119,47;59,74
235;37,01;3,268;120,95;60,48
236;37,01;3,268;120,95;60,48
237;37,01;3,228;119,47;59,74
238;37,01;3,189;118,02;59,01
239;37,01;3,228;119,47;59,74
240;36,61;3,268;119,64;59,82
241;37,01;3,268;120,95;60,48
242;37,01;3,268;120,95;60,48
243;37,01;3,268;120,95;60,48
244;37,01;3,228;119,47;59,74
245;37,01;3,346;123,84;61,92
246;37,01;3,228;119,47;59,74
247;37,01;3,268;120,95;60,48
248;37,01;3,189;118,02;59,01
249;37,01;3,228;119,47;59,74
250;36,61;3,228;118,18;59,09
251;36,61;3,268;119,64;59,82
252;36,61;3,268;119,64;59,82
253;37,01;3,268;120,95;60,48
254;37,01;3,228;119,47;59,74
255;37,01;3,228;119,47;59,74
256;36,61;3,346;122,5;61,25
257;37,01;3,228;119,47;59,74
258;37,01;3,228;119,47;59,74
259;37,01;3,228;119,47;59,74
260;36,61;3,268;119,64;59,82
261;36,61;3,268;119,64;59,82
262;37,01;3,268;120,95;60,48
263;37,01;3,228;119,47;59,74
264;37,01;3,189;118,02;59,01
265;37,01;3,228;119,47;59,74
266;36,61;3,228;118,18;59,09
267;37,01;3,268;120,95;60,48
268;37,01;3,189;118,02;59,01
269;37,01;3,189;118,02;59,01
270;36,61;3,228;118,18;59,09
271;36,61;3,268;119,64;59,82
272;37,01;3,228;119,47;59,74
273;37,01;3,268;120,95;60,48
274;37,01;3,268;120,95;60,48
275;37,01;3,268;120,95;60,48
276;36,61;3,346;122,5;61,25
277;36,61;3,268;119,64;59,82
278;37,01;3,268;120,95;60,48
279;37,01;3,268;120,95;60,48
280;36,61;3,268;119,64;59,82
281;36,61;3,268;119,64;59,82
282;37,01;3,346;123,84;61,92
283;37,01;3,268;120,95;60,48
284;37,01;3,268;120,95;60,48
285;37,01;3,228;119,47;59,74
286;36,61;3,228;118,18;59,09
287;36,61;3,268;119,64;59,82
288;37,01;3,268;120,95;60,48
289;37,01;3,268;120,95;60,48
290;36,61;3,268;119,64;59,82
291;36,61;3,386;123,96;61,98
292;36,61;3,268;119,64;59,82
293;37,01;3,189;118,02;59,01
294;37,01;3,228;119,47;59,74
295;37,01;3,268;120,95;60,48
296;36,61;3,189;116,75;58,38
297;36,61;3,268;119,64;59,82
298;36,61;3,15;115,32;57,66
299;37,01;3,268;120,95;60,48
300;36,61;3,268;119,64;59,82
301;36,61;3,11;113,86;56,93
302;36,61;3,268;119,64;59,82
303;37,01;3,268;120,95;60,48
304;37,01;3,228;119,47;59,74
305;37,01;3,268;120,95;60,48
306;36,61;3,268;119,64;59,82
307;36,61;3,268;119,64;59,82
308;37,01;3,268;120,95;60,48
309;37,01;3,228;119,47;59,74
310;36,61;3,268;119,64;59,82
311;36,61;3,268;119,64;59,82
312;36,61;3,268;119,64;59,82
313;36,61;3,228;118,18;59,09
314;37,01;3,228;119,47;59,74
315;37,01;3,268;120,95;60,48
316;36,61;3,268;119,64;59,82
317;37,01;3,268;120,95;60,48
318;37,01;3,268;120,95;60,48
319;36,61;3,228;118,18;59,09
320;37,01;3,268;120,95;60,48
321;36,61;3,189;116,75;58,38
322;36,61;3,268;119,64;59,82
323;37,01;3,268;120,95;60,48
324;37,01;3,268;120,95;60,48
325;37,01;3,268;120,95;60,48
326;36,61;3,268;119,64;59,82
327;36,61;3,268;119,64;59,82
328;37,01;3,268;120,95;60,48
329;37,01;3,268;120,95;60,48
330;36,61;3,268;119,64;59,82
331;36,61;3,268;119,64;59,82
332;36,61;3,268;119,64;59,82
333;36,61;3,189;116,75;58,38
334;37,01;3,268;120,95;60,48
335;37,01;3,268;120,95;60,48
336;36,61;3,268;119,64;59,82
337;36,61;3,268;119,64;59,82
338;37,01;3,228;119,47;59,74
339;37,01;3,228;119,47;59,74
340;37,01;3,268;120,95;60,48
341;36,61;3,268;119,64;59,82
342;36,61;3,268;119,64;59,82
343;37,01;3,11;115,1;57,55
344;37,01;3,228;119,47;59,74
345;37,01;3,268;120,95;60,48
346;36,61;3,268;119,64;59,82
347;36,61;3,268;119,64;59,82
348;37,01;3,228;119,47;59,74
349;37,01;3,268;120,95;60,48
350;37,01;3,268;120,95;60,48
351;36,61;3,268;119,64;59,82
352;36,61;3,268;119,64;59,82
353;36,61;3,268;119,64;59,82
354;36,61;3,228;118,18;59,09
355;36,61;3,268;119,64;59,82
356;36,61;3,268;119,64;59,82
357;36,61;3,268;119,64;59,82
358;37,01;3,268;120,95;60,48
359;37,01;3,189;118,02;59,01
360;36,61;3,268;119,64;59,82
361;36,61;3,268;119,64;59,82
362;37,01;3,268;120,95;60,48
363;37,01;3,228;119,47;59,74
364;37,01;3,268;120,95;60,48
365;36,61;3,268;119,64;59,82
366;36,61;3,268;119,64;59,82
367;36,61;3,268;119,64;59,82
368;36,61;3,268;119,64;59,82
369;37,01;3,268;120,95;60,48
370;36,61;3,268;119,64;59,82
371;36,61;3,268;119,64;59,82
372;36,61;3,268;119,64;59,82
373;36,61;3,268;119,64;59,82
374;37,01;3,268;120,95;60,48
375;36,61;3,268;119,64;59,82
376;36,61;3,268;119,64;59,82
377;36,61;3,268;119,64;59,82
378;36,61;3,268;119,64;59,82
379;36,61;3,268;119,64;59,82
380;36,61;3,268;119,64;59,82
381;36,61;3,307;121,07;60,54
382;36,61;3,268;119,64;59,82
383;37,01;3,268;120,95;60,48
384;37,01;3,268;120,95;60,48
385;36,61;3,268;119,64;59,82
386;36,61;3,268;119,64;59,82
387;36,61;3,307;121,07;60,54
388;36,61;3,268;119,64;59,82
389;37,01;3,228;119,47;59,74
390;37,01;3,268;120,95;60,48
391;36,61;3,268;119,64;59,82
392;36,61;3,268;119,64;59,82
393;36,61;3,268;119,64;59,82
394;37,01;3,268;120,95;60,48
395;37,01;3,268;120,95;60,48
396;36,61;3,268;119,64;59,82
397;36,61;3,268;119,64;59,82
398;36,61;3,268;119,64;59,82
399;36,61;3,268;119,64;59,82
400;37,01;3,268;120,95;60,48
401;36,61;3,268;119,64;59,82
402;36,61;3,307;121,07;60,54
403;36,61;3,268;119,64;59,82
404;37,01;3,268;120,95;60,48
405;36,61;3,268;119,64;59,82
406;36,61;3,268;119,64;59,82
407;36,61;3,346;122,5;61,25
408;36,61;3,268;119,64;59,82
409;36,61;3,268;119,64;59,82
410;36,61;3,268;119,64;59,82
411;36,61;3,268;119,64;59,82
412;36,61;3,268;119,64;59,82
413;36,61;3,268;119,64;59,82
414;36,61;3,189;116,75;58,38
415;37,01;3,268;120,95;60,48
416;36,61;3,346;122,5;61,25
417;36,61;3,268;119,64;59,82
418;36,61;3,268;119,64;59,82
419;37,01;3,228;119,47;59,74
420;36,61;3,268;119,64;59,82
421;36,61;3,268;119,64;59,82
422;36,61;3,346;122,5;61,25
423;36,61;3,268;119,64;59,82
424;37,01;3,268;120,95;60,48
425;36,61;3,268;119,64;59,82
426;36,61;3,268;119,64;59,82
427;36,61;3,307;121,07;60,54
428;36,61;3,268;119,64;59,82
429;36,61;3,228;118,18;59,09
430;36,61;3,268;119,64;59,82
431;36,61;3,346;122,5;61,25
432;36,61;3,268;119,64;59,82
433;36,61;3,268;119,64;59,82
434;36,61;3,346;122,5;61,25
435;37,01;3,268;120,95;60,48
436;36,61;3,307;121,07;60,54
437;36,61;3,346;122,5;61,25
438;36,61;3,268;119,64;59,82
439;37,01;3,268;120,95;60,48
440;36,61;3,268;119,64;59,82
441;36,61;3,307;121,07;60,54
442;36,61;3,346;122,5;61,25
443;36,61;3,268;119,64;59,82
444;37,01;3,268;120,95;60,48
445;37,01;3,268;120,95;60,48
446;36,61;3,307;121,07;60,54
447;36,61;3,268;119,64;59,82
448;36,61;3,268;119,64;59,82
449;36,61;3,268;119,64;59,82
450;36,61;3,268;119,64;59,82
451;36,61;3,307;121,07;60,54
452;36,61;3,268;119,64;59,82
453;36,61;3,268;119,64;59,82
454;36,61;3,268;119,64;59,82
455;36,61;3,268;119,64;59,82
456;36,61;3,346;122,5;61,25
457;36,22;3,346;121,19;60,6
458;36,61;3,268;119,64;59,82
459;36,61;3,268;119,64;59,82
460;37,01;3,268;120,95;60,48
461;36,61;3,268;119,64;59,82
462;36,61;3,268;119,64;59,82
463;36,61;3,268;119,64;59,82
464;36,61;3,189;116,75;58,38
465;36,61;3,268;119,64;59,82
466;36,61;3,228;118,18;59,09
467;36,61;3,268;119,64;59,82
468;36,61;3,268;119,64;59,82
469;37,01;3,268;120,95;60,48
470;36,61;3,268;119,64;59,82
471;36,61;3,307;121,07;60,54
472;36,61;3,346;122,5;61,25
473;36,61;3,268;119,64;59,82
474;36,61;3,307;121,07;60,54
475;36,61;3,268;119,64;59,82
476;36,61;3,346;122,5;61,25
477;36,22;3,346;121,19;60,6
478;36,61;3,307;121,07;60,54
479;36,61;3,268;119,64;59,82
480;36,61;3,268;119,64;59,82
481;36,61;3,307;121,07;60,54
482;36,61;3,268;119,64;59,82
483;36,61;3,268;119,64;59,82
484;37,01;3,268;120,95;60,48
485;36,61;3,268;119,64;59,82
486;36,61;3,307;121,07;60,54
487;36,61;3,268;119,64;59,82
488;36,61;3,307;121,07;60,54
489;36,61;3,268;119,64;59,82
490;36,61;3,268;119,64;59,82
491;36,61;3,268;119,64;59,82
492;36,61;3,386;123,96;61,98
493;36,61;3,268;119,64;59,82
494;37,01;3,268;120,95;60,48
495;36,61;3,268;119,64;59,82
496;36,61;3,307;121,07;60,54
497;36,61;3,346;122,5;61,25
498;36,61;3,307;121,07;60,54
499;37,01;3,228;119,47;59,74
500;36,61;3,268;119,64;59,82
501;36,61;3,346;122,5;61,25
502;36,61;3,346;122,5;61,25
503;36,61;3,268;119,64;59,82
504;36,61;3,268;119,64;59,82
505;37,01;3,268;120,95;60,48
506;36,61;3,307;121,07;60,54
507;36,61;3,268;119,64;59,82
508;36,61;3,268;119,64;59,82
509;37,01;3,268;120,95;60,48
510;37,01;3,268;120,95;60,48
511;36,61;3,268;119,64;59,82
512;36,61;3,386;123,96;61,98
513;36,61;3,268;119,64;59,82
514;36,61;3,268;119,64;59,82
515;37,01;3,268;120,95;60,48
516;36,61;3,307;121,07;60,54
517;36,22;3,386;122,64;61,32
518;36,61;3,268;119,64;59,82
519;37,01;3,268;120,95;60,48
520;37,01;3,268;120,95;60,48
521;36,61;3,268;119,64;59,82
522;36,61;3,268;119,64;59,82
523;36,61;3,346;122,5;61,25
524;37,01;3,268;120,95;60,48
525;37,01;3,307;122,39;61,2
526;36,61;3,346;122,5;61,25
527;36,61;3,346;122,5;61,25
528;36,61;3,307;121,07;60,54
529;36,61;3,268;119,64;59,82
530;36,61;3,307;121,07;60,54
531;36,61;3,346;122,5;61,25
532;36,22;3,307;119,78;59,89
533;36,61;3,346;122,5;61,25
534;37,01;3,268;120,95;60,48
535;37,01;3,268;120,95;60,48
536;36,61;3,307;121,07;60,54
537;36,61;3,346;122,5;61,25
538;36,61;3,307;121,07;60,54
539;36,61;3,268;119,64;59,82
540;37,01;3,268;120,95;60,48
541;36,61;3,307;121,07;60,54
542;36,61;3,307;121,07;60,54
543;36,61;3,307;121,07;60,54
544;36,61;3,268;119,64;59,82
545;36,61;3,268;119,64;59,82
546;36,61;3,268;119,64;59,82
547;36,61;3,346;122,5;61,25
548;36,61;3,307;121,07;60,54
549;36,61;3,307;121,07;60,54
550;37,01;3,268;120,95;60,48
551;36,61;3,307;121,07;60,54
552;36,61;3,346;122,5;61,25
553;36,61;3,346;122,5;61,25
554;36,61;3,268;119,64;59,82
555;36,61;3,268;119,64;59,82
556;36,61;3,307;121,07;60,54
557;36,61;3,346;122,5;61,25
558;36,61;3,346;122,5;61,25
559;36,61;3,268;119,64;59,82
560;36,61;3,268;119,64;59,82
561;36,61;3,307;121,07;60,54
562;36,61;3,307;121,07;60,54
563;36,61;3,307;121,07;60,54
564;36,61;3,268;119,64;59,82
565;36,61;3,307;121,07;60,54
566;36,61;3,268;119,64;59,82
567;36,61;3,268;119,64;59,82
568;36,61;3,346;122,5;61,25
569;36,61;3,346;122,5;61,25
570;37,01;3,268;120,95;60,48
571;36,61;3,307;121,07;60,54
572;36,61;3,346;122,5;61,25
573;36,22;3,346;121,19;60,6
574;36,61;3,268;119,64;59,82
575;36,61;3,346;122,5;61,25
576;36,61;3,346;122,5;61,25
577;36,61;3,346;122,5;61,25
578;36,61;3,346;122,5;61,25
579;36,61;3,346;122,5;61,25
580;36,61;3,346;122,5;61,25
581;36,61;3,307;121,07;60,54
582;36,61;3,346;122,5;61,25
583;36,61;3,346;122,5;61,25
584;36,61;3,307;121,07;60,54
585;36,61;3,268;119,64;59,82
586;36,61;3,346;122,5;61,25
587;36,61;3,346;122,5;61,25
588;36,22;3,268;118,37;59,18
589;36,61;3,268;119,64;59,82
590;36,61;3,268;119,64;59,82
591;36,61;3,307;121,07;60,54
592;36,61;3,346;122,5;61,25
593;36,61;3,307;121,07;60,54
594;36,61;3,346;122,5;61,25
595;37,01;3,346;123,84;61,92
596;36,61;3,307;121,07;60,54
597;36,61;3,346;122,5;61,25
598;36,61;3,346;122,5;61,25
599;36,61;3,307;121,07;60,54
600;36,61;3,268;119,64;59,82
601;36,61;3,346;122,5;61,25
602;36,61;3,346;122,5;61,25
603;36,22;3,346;121,19;60,6
604;36,61;3,346;122,5;61,25
605;36,61;3,268;119,64;59,82
606;36,61;3,307;121,07;60,54
607;36,61;3,346;122,5;61,25
608;36,61;3,346;122,5;61,25
609;36,61;3,307;121,07;60,54
610;37,01;3,268;120,95;60,48
611;36,61;3,307;121,07;60,54
612;36,61;3,307;121,07;60,54
613;36,61;3,268;119,64;59,82
614;36,61;3,307;121,07;60,54
615;36,61;3,307;121,07;60,54
616;36,61;3,268;119,64;59,82
617;36,61;3,346;122,5;61,25
618;36,61;3,346;122,5;61,25
619;36,61;3,307;121,07;60,54
620;36,61;3,307;121,07;60,54
621;36,61;3,268;119,64;59,82
622;36,61;3,346;122,5;61,25
623;36,61;3,346;122,5;61,25
624;36,61;3,346;122,5;61,25
625;37,01;3,268;120,95;60,48
626;36,61;3,346;122,5;61,25
627;36,61;3,386;123,96;61,98
628;36,61;3,346;122,5;61,25
629;36,61;3,346;122,5;61,25
630;36,61;3,346;122,5;61,25
631;36,61;3,307;121,07;60,54
632;36,61;3,346;122,5;61,25
633;36,61;3,425;125,39;62,7
634;36,61;3,307;121,07;60,54
635;36,61;3,268;119,64;59,82
636;37,01;3,307;122,39;61,2
637;36,61;3,346;122,5;61,25
638;36,61;3,346;122,5;61,25
639;36,61;3,268;119,64;59,82
640;36,61;3,268;119,64;59,82
641;36,61;3,268;119,64;59,82
642;36,61;3,346;122,5;61,25
643;36,61;3,268;119,64;59,82
644;36,61;3,307;121,07;60,54
645;36,61;3,228;118,18;59,09
646;36,61;3,307;121,07;60,54
647;36,61;3,346;122,5;61,25
648;36,61;3,346;122,5;61,25
649;36,61;3,346;122,5;61,25
650;36,61;3,346;122,5;61,25
651;36,61;3,307;121,07;60,54
652;36,61;3,346;122,5;61,25
653;36,61;3,386;123,96;61,98
654;36,61;3,307;121,07;60,54
655;36,61;3,346;122,5;61,25
656;36,61;3,346;122,5;61,25
657;36,61;3,346;122,5;61,25
658;36,61;3,346;122,5;61,25
659;36,61;3,346;122,5;61,25
660;37,01;3,268;120,95;60,48
661;36,61;3,268;119,64;59,82
662;36,61;3,346;122,5;61,25
663;36,61;3,346;122,5;61,25
664;36,61;3,268;119,64;59,82
665;36,61;3,268;119,64;59,82
666;36,61;3,307;121,07;60,54
667;36,61;3,346;122,5;61,25
668;36,61;3,386;123,96;61,98
669;36,61;3,346;122,5;61,25
670;36,61;3,268;119,64;59,82
671;36,61;3,346;122,5;61,25
672;36,61;3,386;123,96;61,98
673;36,61;3,346;122,5;61,25
674;36,61;3,346;122,5;61,25
675;36,61;3,307;121,07;60,54
676;36,61;3,346;122,5;61,25
677;36,61;3,346;122,5;61,25
678;36,22;3,307;119,78;59,89
679;36,61;3,386;123,96;61,98
680;36,61;3,346;122,5;61,25
681;37,01;3,346;123,84;61,92
682;36,61;3,386;123,96;61,98
683;36,61;3,386;123,96;61,98
684;36,61;3,346;122,5;61,25
685;37,01;3,307;122,39;61,2
686;36,61;3,346;122,5;61,25
687;36,61;3,346;122,5;61,25
688;36,22;3,386;122,64;61,32
689;36,61;3,346;122,5;61,25
690;36,61;3,307;121,07;60,54
691;36,61;3,346;122,5;61,25
692;36,61;3,346;122,5;61,25
693;36,22;3,346;121,19;60,6
694;36,61;3,346;122,5;61,25
695;36,61;3,268;119,64;59,82
696;36,61;3,346;122,5;61,25
697;36,61;3,346;122,5;61,25
698;36,61;3,386;123,96;61,98
699;36,61;3,346;122,5;61,25
700;36,61;3,346;122,5;61,25
701;37,01;3,346;123,84;61,92
702;36,61;3,346;122,5;61,25
703;36,61;3,346;122,5;61,25
704;36,61;3,346;122,5;61,25
705;36,61;3,307;121,07;60,54
706;37,01;3,346;123,84;61,92
707;36,61;3,346;122,5;61,25
708;36,22;3,386;122,64;61,32
709;36,61;3,346;122,5;61,25
710;36,61;3,346;122,5;61,25
711;37,01;3,307;122,39;61,2
712;36,61;3,346;122,5;61,25
713;36,61;3,268;119,64;59,82
714;36,61;3,307;121,07;60,54
715;36,61;3,346;122,5;61,25
716;37,01;3,346;123,84;61,92
717;36,61;3,346;122,5;61,25
718;36,61;3,425;125,39;62,7
719;36,61;3,346;122,5;61,25
720;36,61;3,346;122,5;61,25
721;36,61;3,346;122,5;61,25
722;36,61;3,386;123,96;61,98
723;36,61;3,268;119,64;59,82
724;36,61;3,346;122,5;61,25
725;36,61;3,386;123,96;61,98
726;36,61;3,307;121,07;60,54
727;36,61;3,386;123,96;61,98
728;36,61;3,228;118,18;59,09
729;36,61;3,386;123,96;61,98
730;36,61;3,346;122,5;61,25
731;36,61;3,346;122,5;61,25
732;36,61;3,386;123,96;61,98
733;36,61;3,425;125,39;62,7
734;36,61;3,346;122,5;61,25
735;36,61;3,346;122,5;61,25
736;36,61;3,346;122,5;61,25
737;36,61;3,346;122,5;61,25
738;36,61;3,386;123,96;61,98
739;36,61;3,346;122,5;61,25
740;36,61;3,346;122,5;61,25
741;36,61;3,268;119,64;59,82
742;36,61;3,346;122,5;61,25
743;36,61;3,346;122,5;61,25
744;36,61;3,386;123,96;61,98
745;36,61;3,268;119,64;59,82
746;36,61;3,346;122,5;61,25
747;36,61;3,386;123,96;61,98
748;36,61;3,425;125,39;62,7
749;36,61;3,386;123,96;61,98
750;36,61;3,386;123,96;61,98
751;36,61;3,346;122,5;61,25
752;36,61;3,386;123,96;61,98
753;36,61;3,346;122,5;61,25
754;36,61;3,386;123,96;61,98
755;36,61;3,346;122,5;61,25
756;37,01;3,346;123,84;61,92
757;36,61;3,346;122,5;61,25
758;36,61;3,346;122,5;61,25
759;36,61;3,346;122,5;61,25
760;36,61;3,268;119,64;59,82
761;36,61;3,307;121,07;60,54
762;36,61;3,346;122,5;61,25
763;36,61;3,346;122,5;61,25
764;36,61;3,346;122,5;61,25
765;36,61;3,346;122,5;61,25
766;36,61;3,346;122,5;61,25
767;36,61;3,346;122,5;61,25
768;36,61;3,386;123,96;61,98
769;36,61;3,346;122,5;61,25
770;36,61;3,346;122,5;61,25
771;37,01;3,346;123,84;61,92
772;36,61;3,386;123,96;61,98
773;36,22;3,386;122,64;61,32
774;36,22;3,386;122,64;61,32
775;36,61;3,346;122,5;61,25
